date,company,title,link,score,comment
2026-06-28,KDDIグループ,KDDIグループ全体の売上高が2461億円過大に計上 傘下企業による“巨額不正会計”の実態 - 日テレNEWS NNN,https://news.google.com/rss/articles/CBMifEFVX3lxTE9oLVY1ZkZBQkU0TmRYNHA5T2VzYkRmbVhQaHJQcmkyckRmakFCUElGdXNmZ3pJSzhKMnltOVFPcXotbXlQc08tclhLWENneTVoaU10aHVXU1Jic1hfZGhsMWxzcE5mSmZBZ21kZzY2SlJva05JNWZWTUY0U28?oc=5,0,
2026-06-28,KDDIグループ,KDDIグループの「au PAY マーケット」、6周年記念のキャンペーン企画。 複数店舗の買い回りで合計最大40％還元 - Yahoo!ニュース,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOb0RRRzZxeEVxSHhzRVg3NlN0V0VCUS1vZlVZZThxbHVfZzZ3cTRpSTl6TGx1MWJWYy1TTUY5NXZDa2p2OUpLQUxjMi04YWN1N29oSEVVRTJWX2dOUmhwaXlWSmQ0YzNJcTRrREw3ak5NaXdVOVlNcHV0eXNTNkJlSURNbUxFelVD?oc=5,0,
2026-06-28,KDDIグループ,2461億円の架空循環取引はなぜ止められなかったのか KDDI・ビッグローブ - 日経BP,https://news.google.com/rss/articles/CBMifEFVX3lxTE1MNGNzNTNYZzNfMFNWTk52SHp0UnJYMlBfVXNMMVhjZE1EaGc5NnBtSzZSbWkyMEJCRlZGT1hONjBPeWhfNGJFeEFDbmRnZDBraHhLcHBlclViRjVqRDJOd2llc0g1Q0JkYzRSY0JQWTJBR01IUHdqZ3R4akM?oc=5,0,
2026-06-28,KDDIグループ,中期経営戦略「Power-to-Connect 2028」を策定 | KDDI News Room - KDDI ニュースルーム,https://news.google.com/rss/articles/CBMibEFVX3lxTFA3TnlwVGVnZV9kVnVvM1k3ZjZVV0VtUzZGaHRyZXI3cWJlVTIzSnN2ZlhuOW9YZHRmSk94YlJRUC11VW1iSkhzdFc4RHFJR2d0andTOVJuaVVsTVdBcTBMLUNlc2ptZWY5WEtsaw?oc=5,0,
2026-06-28,LIXIL健康保険組合,「健康経営優良法人2025（ホワイト500）」に認定 | 株式会社LIXILのプレスリリース - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTFBlWWhoaVNWQ2RGeWJrWUQ3ZEFRckVFRmdma3BjUGhXUkM5Z1cyZ0VjY0J6NDJGRW42elZPWXRvcFhXMnMwR24zN0dkWFpydUNSQU01ZURzZzZLcC1INVd4OVViNElKTGFVbWc?oc=5,0,
2026-06-28,LIXIL健康保険組合,～歩いてｄポイントを貯めるアプリ「歩いておトク」の利用者アンケート発表～運動習慣のなかったご利用者の半数以上が歩数アップ！ - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE1UeXhfcnJRQUduQzZXRmRWODdTZ3FHR0g0UElZN2ZhS0hoQm5meUg3eXJ5bWhJZmpGVXZhVHFDRl9tRjFSaWh3M3ExeVBkUHlmZXFtN1F0N1YyV0dUNFA0Q0UyOW5HUmJMa3c?oc=5,0,
2026-06-28,MBK連合健康保険組合,異業種コラボで､健康診断後の｢未来｣を変える データ駆動アプローチで健保加入者が行動変容 | IQVIAジャパングループ - 東洋経済オンライン,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1TQVl5U1NaRG95YV9GTVZHVndNNGRHZFV0ZWs2cjMzZHVxeW0yZ1ItLUROcnl4bjBCd2dTeGRHbVRGdmU3OXBtZm5Pd0RqVVZNSnc?oc=5,0,
2026-06-28,MIC株式会社(全国印刷工業健康保険組合),販促物共同配送プラットフォーム「Co.HUB」が2025年度「グッドデザイン・ベスト100」を受賞しました！ - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE9uUTVnRXZTSTdTcDJSZzliV1UtM0hUbHgxdFBOdGE3U0dCV1B1SHJoNnpBRTZzVnJrU2lJN3NKaGExM1pwWDBhaGJ0TTROMWxFM2tORXZWQXdCcWltQVctak9tQXhuQ1BldEE?oc=5,0,
2026-06-28,MIC株式会社(全国印刷工業健康保険組合),ＭＩＣ[300A]：2026年３月期通期決算説明 動画公開のお知らせ 2026年5月14日(適時開示) ：日経会社情報DIGITAL - 日本経済新聞,https://news.google.com/rss/articles/CBMiakFVX3lxTFBiQVdHX3BqZm9FTTMtbTFGS0YxeVpaQmV2YmhQdVBhOFhqeWw1SldZMFFmWS1CZ0dUY1ZZQXVFZTRPU1dhNXZaREZFVmlPZVVvMEdsZXVERHdQWkF4TDBOX0lSdTFSOEtUbEE?oc=5,0,
2026-06-28,MIC株式会社(全国印刷工業健康保険組合),"城咲仁さんプロデュース累計販売数20,000本突破大人気「Sコーティング包丁」くすりの福太郎20店舗で店頭販売開始！ - newscast.jp",https://news.google.com/rss/articles/CBMiR0FVX3lxTE9QOXdCNGNfUUN3Z0c0N3otVW5uVk5DRmRidDdLeXFiVXB5dUhUbExOZ2tNMjRyT01fWTVndzU0TEtja2F5UGk4?oc=5,0,
